"","Year","Month","Day","Sampling Site","Depth","Conductivity (mmohs·cm-1)","pH (units)","Alkalinity (mg·L-1 as CaCO3)","Turbidity (NTU)","Color (PT units)","Calcium (mg·L-1)","Magnesium (mg·L-1)","Iron (mg·L-1)","Total Phosphorus (mg·L-1 as P)","Total Filterable Phosphorus (mg·L-1 as P)","Filterable Reactive Phosphorus (mg·L-1 as P)","Total Kjeldahl Nitrogen (mg·L-1 as N)","Ammonia (mg·L-1 as N)","Nitrate + Nitrite (mg·L-1 as N)","Reactive Silicon (mg·L-1 as Si)","Particulate Carbon (mg·L-1 as C)","Total Particulate Phosphorus (mg·L-1 as P)","Total Particulate Nitrogen (mg·L-1 as N)","N:P (atom ratio)"
"78",1995,7,11,"3",66,211,6.5,8.9,0.4,10,3.6,3.7,19,2.8,2.7,1.2,45.4,7.5,75.4,850,15,NA,NA,"103:1"
"79",1995,8,11,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,9.6,NA,NA,NA,106.9,NA,NA,NA,NA,NA,NA
"80",1995,8,11,"1",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1995,8,11,"2",1,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,87.1,NA,NA,NA,NA,NA,NA
"82",1995,8,11,"2",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",1995,8,11,"3",1,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,94.2,NA,NA,NA,NA,NA,NA
"84",1995,8,11,"3",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1995,9,13,"1",1,114,6.6,6.9,0.7,14,2.9,2.3,29,6.1,3.8,1.7,88.7,7.5,4,244,151,NA,NA,"36:1"
"86",1995,9,13,"1",66,207,6.5,7.5,0.3,10,3.8,4.2,28,8.2,2.5,1.2,77.7,2.7,80.4,856,23,NA,NA,"46:1"
"87",1995,9,13,"2",1,119,6.4,6.5,0.6,13,2.9,3.2,32,5.8,3.5,1.2,84.8,6.3,4,220,110,NA,NA,"37:1"
"88",1995,9,13,"2",66,208,6.5,7,0.3,15,3,5.1,20,12.3,3.4,3.5,45.4,7.5,82.1,796,8,NA,NA,"25:1"
"89",1995,9,13,"3",1,121,6.5,6.9,0.6,12,2.9,2.3,30,6.6,6.5,1.3,94.2,9.8,4,244,125,NA,NA,"35:1"
"90",1995,9,13,"3",66,207,6.4,7.3,0.2,11,2.9,5.1,16,2.3,1.6,1.6,43.8,11,82.9,808,8,NA,NA,"131:1"
